Term	Definition
purchases	buys
purchased	bought
purchase	buy
purchasing	buying
purchase	buy
purchased	bought
purchase	buy
purulent	pus
pyrexias	fevers
pyrexia	fever
qualified	suited
quarantines	isolates
quarantined	isolated
quarantine	isolate
quarantining	isolating
quarantine	isolate
quarantined	isolated
quarantine	isolate
RA	rheumatoid arthritis
radiations	energies
radiation	energy
radioisotopes	medicines
radioisotope	medicine
radiologists	a doctor who studies x-rays and other imagess
radiologist	a doctor who studies x-rays and other images
radiologies	x-ray departments
radiology	x-ray department
radionuclide	medicine
rampant	unchecked
rapid diagnostic tested	fasted resulted tested
rapid diagnostic test	fast result test
rapid diagnostic testing	fasting resulting testing
rapid diagnostic test	fast result test
rapid diagnostic tested	fasted resulted tested
rapid diagnostic test	fast result test
rationales	reasons
rationale	reason
Raynaud’s syndrome	circulatory disease
reactions	a responses
reaction	a response
reassortment	change
received	get
receive	get
receiving	get
receive	get
received	get
receive	get
receptive language	understanding
recipients	person who gets somethings
recipient	person who gets something
recognized	accepted
recognize	accept
recognizing	accepting
recognize	accept
recognized	accepted
recognize	accept
recombinant	new gene combination
recommended	advised
recommend	advise
recommending	advising
recommend	advise
recommended	advised
recommend	advise
recovered	get 
recover	get better
recovering	get 
recover	get better
recovered	get 
recover	get better
recrudescences	relapses
recrudescence	relapse
recuperated	get 
recuperate	get better
recuperating	get 
recuperate	get better
recuperated	get 
recuperate	get better
recurred	came backed
recur	come back
recurring	coming backing
recur	come back
recurred	come backed
recur	come back
reduced	lowered
reduce	lower
reducing	lowering
reduce	lower
reduced	lowered
reduce	lower
redundant	extra
refills	number of times one can get more medicine from the drugstore without going back to
the doctored	
the doctor	
the doctoring	
the doctor	
the doctored	
the doctor	
refluxes	spit ups
reflux	spit up
regarding	about
regimens	diets
regimen	diet
registers	sign ups
registered	signed upped
register	sign up
registering	signing upping
register	sign up
registered	signed upped
register	sign up
regulars	usuals
regular	usual
regulated	controlled
regulate	control
regulating	controlling
regulate	control
regulated	controlled
regulate	control
regulations	rules
regulation	rule
rehabilitated	get 
rehabilitate	get better
rehabilitating	get 
rehabilitate	get better
rehabilitated	get 
rehabilitate	get better
reimbursed	payed backed
reimburse	pay back
reimbursing	paying backing
reimburse	pay back
reimbursed	payed backed
reimburse	pay back
reinforced	made stronger
reinforce	make stronger
reinforcing	making stronger
reinforce	make stronger
reinforced	made stronger
reinforce	make stronger
reiterated	repeated
reiterate	repeat
reiterating	repeating
reiterate	repeat
reiterated	repeated
reiterate	repeat
reliefs	feel betters
relief	feel better
relieved	eased
relieve	ease
relieving	easing
relieve	ease
relieved	eased
relieve	ease
remissions	when a disease is not actives
remission	when a disease is not active
renal	related to the kidney
requests	asks for
requested	asked for
request	ask for
requesting	asking for
request	ask for
requested	asked for
request	ask for
required	needed
require	need
requiring	needing
require	need
required	needed
require	need
requirements	needs
rescinded	cancelled
rescind	cancel
rescinding	cancelling
rescind	cancel
rescinded	cancelled
rescind	cancel
resembled	looked liked
resemble	look like
resembling	looking liking
resemble	look like
resembled	looked liked
resemble	look like
resided	were in
reside	be in
residing	being in
reside	be in
resided	been in
reside	be in
residences	homes
residence	home
Residual Seizure Disorder	seizures
respirations	breathings
respiration	breathing
respiratory therapist	breathing therapist
respites	rests
respited	rested
respite	rest
respiting	resting
respite	rest
respited	rested
respite	rest
responded	answered
respond	answer
responding	answering
respond	answer
responded	answered
respond	answer
restorations	fillings
restoration	filling
restrained	held backed
restrain	hold back
restraining	holding backing
restrain	hold back
restrained	held backed
restrain	hold back
restricted	limited
restrict	limit
restricting	limiting
restrict	limit
restricted	limited
restrict	limit
restrictions	limitations
retained	kept
retain	keep
retaining	keeping
retain	keep
retained	kept
retain	keep
retrieved	get
retrieve	get
retrieving	get
retrieve	get
retrieved	get
retrieve	get
returns	go backs
returned	went backed
return	go back
returning	going backing
return	go back
returned	gone backed
return	go back
revealed	showed
reveal	show
revealing	showing
reveal	show
revealed	shown
reveal	show
reviews	goes over
reviewed	went over
review	go over
reviewing	going over
review	go over
reviewed	gone over
review	go over
Reye’s Syndrome	brain disease in children
rheumatoid arthritis	diseases of joints
rheumatoid arthritis	disease of joints
rheumatologists	joints
rheumatologist	joint
rheumatologies	studies of the immune system
rheumatology	study of the immune system
rigorous	hard
risked reduction	lowering the chances
risk reduction	lowering the chances
risking reduction	lowering the chances
risk reduction	lowering the chances
risked reduction	lowering the chances
risk reduction	lowering the chances
risks	chances
risked	chanced
risk	chance
risking	chancing
risk	chance
risked	chanced
risk	chance
root canals	remove the nerve from inside the root of a permanent teeth
rooted canalled	removed the nerved from inside the rooted of a permanent tooth
root canal	remove the nerve from inside the root of a permanent tooth
rooting canalling	removing the nerving from inside the rooting of a permanent tooth
root canal	remove the nerve from inside the root of a permanent tooth
rooted canalled	removed the nerved from inside the rooted of a permanent tooth
root canal	remove the nerve from inside the root of a permanent tooth
rooted planing and scaling	deep tooth cleaning
root planing and scaling	deep tooth cleaning
rooting planing and scaling	deep tooth cleaning
root planing and scaling	deep tooth cleaning
rooted planing and scaling	deep tooth cleaning
root planing and scaling	deep tooth cleaning
Rotavirus	germ causing stomach flu
Rubella	German measles
Rubeola	measles
ruptures	breaks
ruptured	broke
rupture	break
rupturing	breaking
rupture	break
ruptured	broken
rupture	break
sanitary	clean
sanitized	cleaned
sanitize	clean
sanitizing	cleaning
sanitize	clean
sanitized	cleaned
sanitize	clean
SC	subcutaneously
scaling and rooted planing	removal of hard and soft deposits from teeth above and below gums
scaling and root planing	removal of hard and soft deposits from teeth above and below gums
scaling and rooting planing	removal of hard and soft deposits from teeth above and below gums
scaling and root planing	removal of hard and soft deposits from teeth above and below gums
scaling and rooted planing	removal of hard and soft deposits from teeth above and below gums
scaling and root planing	removal of hard and soft deposits from teeth above and below gums
Scarlatina	scarlet fever
schedules	plans
scheduled	planned
schedule	plan
scheduling	planning
schedule	plan
scheduled	planned
schedule	plan
sealant (pit and fissure, dental)	thin layer of plastic painted onto teeth to prevent decay
seasonal influenza	common flu; winter flu
second- and third-order effects	things that happen as a result of your actions
sectors	groups
sector	group
sedentary	inactive
segments	parts
segmented	parted
segment	part
segmenting	parting
segment	part
segmented	parted
segment	part
seizures	fits of uncontrolled movements
seizure	fit of uncontrolled movements
sensations	feelings
sensation	feeling
sensitives	easily hurts
sensitive	easily hurt
seroconversion	becoming immune
serologies	studies of blood strength
serology	study of blood strength
serosurvey	test to see how likely you are to get a disease
several	many
severe	strong
severities	how bads
severity	how bad
shifts	changes
shifted	changed
shift	change
shifting	changing
shift	change
shifted	changed
shift	change
shortnesses of breath	difficulty catching breaths
shortness of breath	difficulty catching breath
side effects	reactions
sided effected	reaction
side effect	reaction
siding effecting	reaction
side effect	reaction
sided effected	reaction
side effect	reaction
significant	big
similar	like
situated	placed
Sjogren’s syndrome	dry eyes and mouth
skulls	head boness
skull	head bones
social distancing	stay at home; keep away from people
socialized	made friends
socialize	make friends
socializing	making friends
socialize	make friends
socialized	made friends
socialize	make friends
solicited	asked for
solicit	ask for
soliciting	asking for
solicit	ask for
solicited	asked for
solicit	ask for
sorenesses	hurts
soreness	hurt
spasms	suddens
spasm	sudden
species	groups of plants or animals
species	group of plants or animals
spirometers	breathing tests
spirometer	breathing test
spontaneous	unplanned
sprains	muscle injuries
sprained	muscled injury
sprain	muscle injury
spraining	muscling injury
sprain	muscle injury
sprained	muscled injury
sprain	muscle injury
stables	okays
stabled	okayed
stable	okay
stabling	okaying
stable	okay
stabled	okayed
stable	okay
staminas	strengths
stamina	strength
stated of readiness	readied
state of readiness	ready
stating of readiness	readying
state of readiness	ready
stated of readiness	readied
state of readiness	ready
states	says
stated	said
state	say
stating	saying
state	say
stated	said
state	say
status	states
status	state
sterile	unable to have children
steroids	medicines
steroid	medicine
stigmata	marks
stigma	mark
stimulated	excited
stimulate	excite
stimulating	exciting
stimulate	excite
stimulated	excited
stimulate	excite
strains	types of germ
strained	typed of germ
strain	type of germ
straining	typing of germ
strain	type of germ
strained	typed of germ
strain	type of germ
stresses	physical strains
stressed	physical strained
stress	physical strain
stressing	physical straining
stress	physical strain
stressed	physical strained
stress	physical strain
stringent	strict
subclinical infection	minor illness
submitted	gave
submit	give
submitting	giving
submit	give
submitted	given
submit	give
subsequent	following
subsequently	after that
substances	chemicals
substance	chemical
Sudden Infant Death Syndrome (SIDS)	crib death; sudden
sufficed	were enough
suffice	be enough
sufficing	being enough
suffice	be enough
sufficed	been enough
suffice	be enough
sufficient	enough
suffocated	choked
suffocate	choke
suffocating	choking
suffocate	choke
suffocated	choked
suffocate	choke
summon	called for
summon	call for
summon	calling for
summon	call for
summon	called for
summon	call for
sun protection factors	sunscreens
sunned protection factored	sunscreen
sun protection factor	sunscreen
sunning protection factoring	sunscreen
sun protection factor	sunscreen
sunned protection factored	sunscreen
sun protection factor	sunscreen
superficial	not important
superseded	replaced
supersede	replace
superseding	replacing
supersede	replace
superseded	replaced
supersede	replace
supplements	adds to
supplemented	added to
supplement	add to
supplementing	adding to
supplement	add to
supplemented	added to
supplement	add to
supplies	gives
supplied	gave
supply	give
supplying	giving
supply	give
supplied	given
supply	give
suppressed	held backed
suppress	hold back
suppressing	holding backing
suppress	hold back
suppressed	held backed
suppress	hold back
surged capacity	being able to  more services in an emergency
surge capacity	being able to offer more services in an emergency
surging capacity	being able to  more services in an emergency
surge capacity	being able to offer more services in an emergency
surged capacity	being able to  more services in an emergency
surge capacity	being able to offer more services in an emergency
surgeries	operations
surgery	operation
surgical masked	faced masked
surgical mask	face mask
surgical masking	facing masking
surgical mask	face mask
surgical masked	faced masked
surgical mask	face mask
surveillances	keep a close eye ons
surveillance	keep a close eye on
susceptible	more open to
sutures	stitches
symptoms	sign (of disease or sickness)s
symptom	sign (of disease or sickness)
syndromes	illnesses
syndrome	illness
syntheses	summaries
synthesis	summary
synthesize	combined
synthesize	combine
synthesize	combining
synthesize	combine
synthesize	combined
synthesize	combine
systematic	planned out
Systemic Lupus Erythematosus	immune system disease
systemic	throughout your body
tallus	heel
tapers	reduces
tapered	reduced
taper	reduce
tapering	reducing
taper	reduce
tapered	reduced
taper	reduce
tartars	crusts on teeth
tartar	crust on teeth
telework	work from home
temperatures	heats
temperature	heat
temporal association	when two things happen at the same time but aren’t actually related to each other
temporaries	shorts
temporary	short
teratogenic	something that can hurt your baby before he is born
terminals	deadlies
terminal	deadly
terminated	stopped
terminate	stop
terminating	stopping
terminate	stop
terminated	stopped
terminate	stop
testosterones	male hormones
testosterone	male hormone
tetanuss	disease affecting muscless
tetanus	disease affecting muscles
therapeutics	healings
therapeutic	healing
therapies	treatments
therapy	treatment
therefore	so
thimerosals	drug or vaccine preservatives
thimerosal	drug or vaccine preservative
third molars	wisdom teeth
thrombuss	clots
thrombus	clot
time periods	times
timed period	timed
time period	time
timing period	timing
time period	time
timed period	timed
time period	time
titers	blood tests
titer	blood test
titrated	to changed the dose/level of a medicine
titrate	to change the dose/level of a medicine
titrating	to changing the dose/level of a medicine
titrate	to change the dose/level of a medicine
titrated	to changed the dose/level of a medicine
titrate	to change the dose/level of a medicine
topical	on the surface
toxicologies	studies of harmful materials
toxicology	study of harmful materials
toxins	poisons
toxin	poison
transformed	changed
transform	change
transforming	changing
transform	change
transformed	changed
transform	change
transparent	clear
transpired	happened
transpire	happen
transpiring	happening
transpire	happen
transpired	happened
transpire	happen
transverse myelitis	of the spine
traumatic	shocking
treats	give cares
treated	gave cared
treat	give care
treating	giving caring
treat	give care
treated	given cared
treat	give care
treatments	actions
treatment	action
tremors	shakings
tremor	shaking
tremor	shaking
tremor	shaking
tremor	shaking
tremor	shaking
tremor	shaking
triggers	causes
triggered	caused
trigger	cause
triggering	causing
trigger	cause
triggered	caused
trigger	cause
trimesters	three monthss
trimester	three months
tuberculoses	TBs
tuberculosis	TB
tumors	growths
tumor	growth
ulcers	open sores
ulcer	open sore
ulterior	secondary
ultimates	finals
ultimate	final
umbilici	belly buttons
umbilicus	belly button
underbite	lower teeth extend past upper front teeth
understood	knew
understand	know
understanding	knowing
understand	know
understood	known
understand	know
unfavorable	bad
unnecessary	not needed
upper respiratory system	nose
urinated	peed
urinate	pee
urinating	peeing
urinate	pee
urinated	peed
urinate	pee
urticarias	hivess
urticaria	hives
until such timed	until
until such time	until
until such timing	until
until such time	until
until such timed	until
until such time	until
use cautioned	were careful
use caution	be careful
use cautioning	being careful
use caution	be careful
use cautioned	been careful
use caution	be careful
uteri	wombs
uterus	womb
utilized	use
utilize	use
utilizing	use
utilize	use
utilized	use
utilize	use
UVA	UV light
UVB	UV light
vaccinated	to protected against disease
vaccinate	to protect against disease
vaccinating	to protecting against disease
vaccinate	to protect against disease
vaccinated	to protected against disease
vaccinate	to protect against disease
Vaccine Adverse Event Reporting System	VAERS
Vaccine Safety Datalink Project	VSD
vaccines	shots
vaccine	shot
vague	unclear
validated	proved
validate	prove
validating	proving
validate	prove
validated	proven
validate	prove
validities	truths
validity	truth
variants	versions
variant	version
Varicella	chicken pox
variolas	smallpox
variola	smallpox
varied	changed
vary	change
varying	changing
vary	change
varied	changed
vary	change
vehicles	cars
vehicle	car
verbatim	exact
verified	checked
verify	check
verifying	checking
verify	check
verified	checked
verify	check
vesicular	blisters
viable	able to live
vicinities	areas
vicinity	area
viral shedding	coughing and sneezing
viremias	virusess in the blood
viremia	viruses in the blood
virulences	strength; harm; how harmful; how dangerous the dissease iss
virulence	strength; harm; how harmful; how dangerous the disease is
virulent	strong
viruss	germs
virus	germ
vital	important
voluminous	large
voluntaries	your choice; on your own; without being forceds
voluntary	your choice; on your own; without being forced
vomits	throw ups
vomited	threw upped
vomit	throw up
vomiting	throwing upping
vomit	throw up
vomited	thrown upped
vomit	throw up
waning immunity	not immune any more; more likel to get sick; lost your disease resistance
warning signed	signed of trouble; problem; alerted
warning sign	sign of trouble; problem; alert
warning signing	signing of trouble; problem; alerting
warning sign	sign of trouble; problem; alert
warning signed	signed of trouble; problem; alerted
warning sign	sign of trouble; problem; alert
waterfowls	water birds; birds that live on water; duckss
waterfowl	water birds; birds that live on water; ducks
wheezes	breathing problems
wheezed	breathing problem
wheeze	breathing problem
wheezing	breathing problem
wheeze	breathing problem
wheezed	breathing problem
wheeze	breathing problem
whereas	while
whited spotted lesion	whited spotted on tooth
white spot lesion	white spot on tooth
whiting spotting lesion	whiting spotting on tooth
white spot lesion	white spot on tooth
whited spotcheck lesion	whited spotcheck on tooth
white spot lesion	white spot on tooth
whooping coughs	diseases of the lungs that is very easily spread to others
whooping coughed	disease of the lungs that is very easily spread to others
whooping cough	disease of the lungs that is very easily spread to others
whooping coughing	disease of the lungs that is very easily spreading to others
whooping cough	disease of the lungs that is very easily spread to others
whooping coughed	disease of the lungs that is very easily spread to others
whooping cough	disease of the lungs that is very easily spread to others
withheld	denied
withhold	deny
withholding	denying
withhold	deny
withheld	denied
withhold	deny
withstood	took
withstand	take
withstanding	taking
withstand	take
withstood	taken
withstand	take
witnesses	sees
witnessed	saw
witness	see
witnessing	seeing
witness	see
witnessed	seen
witness	see
x-rays	pictures of your bones; pictures of your insides
x-ray	pictured of your bones; pictured of your insides
x-ray	picture of your bones; picture of your insides
x-ray	picturing of your bones; picturing of your insides
x-ray	picture of your bones; picture of your insides
x-ray	pictured of your bones; pictured of your insides
x-ray	picture of your bones; picture of your insides
zoonoses	diseases that people can get from animals; diseases that are passed between animals and people
abdomens	bellies
abdomen	belly
ablations	removes
ablation	remove
Absorb	Take up fluids
abstained	avoided
abstain	avoid
abstaining	avoiding
abstain	avoid
abstained	avoided
abstain	avoid
acuities	Clearnesses
acuity	Clearness
acutes	short-term; sudden onsets
acute	short-term; sudden onset
adenopathies	swollen glandss
adenopathy	swollen glands
adjuvants	Helpfuls
adjuvant	Helpful
adverse effected	sided effected
adverse effect	side effect
adverse effecting	siding effecting
adverse effect	side effect
adverse effected	sided effected
adverse effect	side effect
allergic reactions	rashes
allergic reaction	rash
alopecias	hair losses
alopecia	hair loss
ambulated	walked
ambulate	walk
ambulating	walking
ambulate	walk
ambulated	walked
ambulate	walk
amnesias	losses of memory; inability to remember
amnesia	loss of memory; inability to remember
analgesics	pain relieving medications
analgesic	pain relieving medication
anaphylaxes	a severes
anaphylaxis	a severe
anemias	low red blood cell counts
anemia	low red blood cell count
anesthetized	to numb; put to slept
anesthetize	to numb; put to sleep
anesthetizing	to numb; putting to sleeping
anesthetize	to numb; put to sleep
anesthetized	to numb; put to slept
anesthetize	to numb; put to sleep
anginas	pains from not enough blood to the heart
angina	pain from not enough blood to the heart
anorexias	losses of appetite
anorexia	loss of appetite
antecubital	Inside the elbow
antibiotic (antimicrobial)	drug that kills germs
antibodies	natural chemicals in the body that fight infection
anticonvulsants	drug used to prevent seizuress
anticonvulsant	drug used to prevent seizures
antilipidemic	drug that decreases the level of fat in the blood
antiretroviral	drug that inhibits viruses
antitussives	drug that relieves coughings
antitussive	drug that relieves coughing
anuss	rectums
anus	rectum
arrhythmia or dysrhythmia	a change from the normal heartbeat
arteries	blood vessels
artery	blood vessel
arthralgias	joint pains
arthralgia	joint pain
aspirations	inhales into the lungs; to suck in; or removal of fluid through tube or needle
aspiration	inhale into the lungs; to suck in; or removal of fluid through tube or needle
assessed	to learnt about
assess	to learn about
assessing	to learning about
assess	to learn about
assessed	to learnt about
assess	to learn about
asthenias	losses of energy; weakness
asthenia	loss of energy; weakness
asthmas	lung disease associated with tightening of the air passagess
asthma	lung disease associated with tightening of the air passages
asymptomatic	without symptoms
ataxias	unsteady movements
ataxia	unsteady movement
axillas	armpits
axilla	armpit
LAY TERMINOLOGY	bacteria
germs	
benign	not cancerous; without serious consequences
BID	twice a day
bioavailability	the extent to which a drug becomes available to the body
biopsies	the removal and examination of a small part of tissue or organs
biopsy	the removal and examination of a small part of tissue or organ
blood profiles	series of blood tests
blooded profile	series of blooded tests
blood profile	series of blood tests
blooding profile	series of blooding tests
blood profile	series of blood tests
blooded profile	series of blooded tests
blood profile	series of blood tests
boluss	given all at onces
bolus	given all at once
boned density	boned thickness; hardness of boned
bone density	bone thickness; hardness of bone
boning density	boning thickness; hardness of boning
bone density	bone thickness; hardness of bone
boned density	boned thickness; hardness of boned
bone density	bone thickness; hardness of bone
bradycardias	slow heart rates
bradycardia	slow heart rate
bronchospasms	difficulty breathing because the airways have narroweds
bronchospasm	difficulty breathing because the airways have narrowed
confidentiality willed not were	other peopled willed not find outed
confidentiality will not be	other people will not find out
confidentiality willing not being	other peopling willing not find outing
confidentiality will not be	other people will not find out
confidentiality willed not been	other peopled willed not find outed
confidentiality will not be	other people will not find out
compromised	
carcinogenic	can cause cancer
carcinomata	a type of cancers
carcinoma	a type of cancer
cardiac	heart; involving the heart
a procedure in which a small tubed (catheter) is inserted through blooded	cardiac catheterization
a procedure in which a small tube (catheter) is inserted through blood	cardiac catheterization
a procedure in which a small tubing (catheter) is inserted through blooding	cardiac catheterization
a procedure in which a small tube (catheter) is inserted through blood	cardiac catheterization
a procedure in which a small tubed (catheter) is inserted through blooded	cardiac catheterization
a procedure in which a small tube (catheter) is inserted through blood	cardiac catheterization
vessels in the groined and into the heart that uses highlighting fluid to looked at	
vessels in the groin and into the heart that uses highlighting fluid to look at	
vessels in the groining and into the heart that uses highlighting fluid to looking at	
vessels in the groin and into the heart that uses highlighting fluid to look at	
vessels in the groined and into the heart that uses highlighting fluid to looked at	
vessels in the groin and into the heart that uses highlighting fluid to look at	
the blooded vessels in the heart	
the blood vessels in the heart	
the blooding vessels in the heart	
the blood vessels in the heart	
the blooded vessels in the heart	
the blood vessels in the heart	
cardioversion	a procedure that uses electricity to simulate the heart and make it return to
its normal rhythm	
catheters	flexible plastic tube that is inserted into the ( )s
catheter	flexible plastic tube that is inserted into the ( )
central nervous systems	the brain and spinal cords
central nervous system	the brain and spinal cord
cerebral trauma	damage to the brain
cessations	stoppings
cessation	stopping
chemotherapies	treatments of disease with chemical agents
chemotherapy	treatment of disease with chemical agents
chronic	continues for a long time; long-term
clinical	medical care
clinically significant	of major importance for treating or evaluating patients
clinical trials	an experiment in humanss
clinical trial	an experiment in humans
coerced	pressured; forced
cognitive status	levels of awareness and thinking
colons	large intestines; bowels
colon	large intestines; bowel
colonoscopies	procedures to look at the large intestine that uses a special camera at the
colonoscopy	procedure to look at the large intestine that uses a special camera at the
ended of a longed tubed that is inserted in the rectum	
end of a long tube that is inserted in the rectum	
ending of a longing tubing that is inserted in the rectum	
end of a long tube that is inserted in the rectum	
ended of a longed tubed that is inserted in the rectum	
end of a long tube that is inserted in the rectum	
comas	unconscious states
coma	unconscious state
congenital	occurring prior to birth
conjunctivitis	irritation and redness in the membrane covering the eyes
conjunctivitis	irritation and redness in the membrane covering the eye
consents	agreements
consented	agreement
consent	agreement
consenting	agreement
consent	agreement
consented	agreement
consent	agreement
contrast materials	a fluid that is given into thes vein or an area of thes body to highlight thes
contrasted material	a fluid that is given into the veined or an area of the bodied to highlighted the
contrast material	a fluid that is given into the vein or an area of the body to highlight the
contrasting material	a fluid that is given into the veining or an area of the bodying to highlighting the
contrast material	a fluid that is given into the vein or an area of the body to highlight the
contrasted material	a fluid that is given into the veined or an area of the bodied to highlighted the
contrast material	a fluid that is given into the vein or an area of the body to highlight the
blooded vessels or bodied area under x-ray examination	
blood vessels or body area under x-ray examination	
blooding vessels or bodying area under x-ray examination	
blood vessels or body area under x-ray examination	
blooded vessels or bodied area under x-ray examination	
blood vessels or body area under x-ray examination	
LAY TERMINOLOGY	convulsions
seizures	
coronaries	hearts; involving the hearts
coronary	heart; involving the heart
creatinine clearance	a test of kidney function
computed tomography; (CT)	computer enhanced X-ray; special type of x-ray
scans	s
scanned	
scan	
scanning	
scan	
scanned	
scan	
cultures	a test for the presence of germss
culture	a test for the presence of germs
cumulative	total sum (of events
cutaneous	of the skin
defecated	bowel movement; to passed stools
defecate	bowel movement; to pass stools
defecating	bowel movement; to passing stools
defecate	bowel movement; to pass stools
defecated	bowel movement; to passed stools
defecate	bowel movement; to pass stools
defibrillations	a procedure that uses electricity toes stimulate the heart and make it return toes
defibrillation	a procedure that uses electricity to stimulate the heart and make it return to
its normal rhythm	
de novo	new
dermatologic	of the skin
deteriorated	to get worse; to lost functioned
deteriorate	to get worse; to lose function
deteriorating	to get worse; to losing functioning
deteriorate	to get worse; to lose function
deteriorated	to get worse; to lost functioned
deteriorate	to get worse; to lose function
diastolic blooded pressured	the blooded pressured when the heart rests between beats; the bottomed numbed
diastolic blood pressure	the blood pressure when the heart rests between beats; the bottom number
diastolic blooding pressuring	the blooding pressuring when the heart rests between beats; the bottoming numbing
diastolic blood pressure	the blood pressure when the heart rests between beats; the bottom number
diastolic blooded pressured	the blooded pressured when the heart rests between beats; the bottomed numbed
diastolic blood pressure	the blood pressure when the heart rests between beats; the bottom number
of a blooded pressured reading	
of a blood pressure reading	
of a blooding pressuring reading	
of a blood pressure reading	
of a blooded pressured reading	
of a blood pressure reading	
diplopias	double visions
diplopia	double vision
distal	away from the center of the body
distensions	bloated; swollen; inflated
diuretics	drug that causes an increase in urinations
diuretic	drug that causes an increase in urination
double-blind	neither you nor your doctor will know what medicine you are taking (this
could were found outed easily if necessary)	
can be found out easily if necessary)	
 being finding outing easily if necessary)	
can be found out easily if necessary)	
 been found outed easily if necessary)	
can be found out easily if necessary)	
duodenums	beginnings of the small intestine that is attached to the stomach
duodenum	beginning of the small intestine that is attached to the stomach
dysfunctions	not functioning properlies
dysfunction	not functioning properly
dyspepsias	gas; upset stomaches
dyspepsia	gas; upset stomach
dysplasias	abnormal cellss
dysplasia	abnormal cells
dyspneas	hards to breathe; short of breath
dyspnea	hard to breathe; short of breath
ECG, EKG, or	picture and measurement of the heart rhythm
electrocardiograms	s
electrocardiogram	
echocardiograms	procedure that uses sound wavess to look at the heart; using sound wavess
echocardiogram	procedure that uses sound waves to look at the heart; using sound waves
to took pictures of the heart chambers and measured it pumping strength	
to take pictures of the heart chambers and measure it pumping strength	
to taking pictures of the heart chambers and measuring it pumping strength	
to take pictures of the heart chambers and measure it pumping strength	
to taken pictures of the heart chambers and measured it pumping strength	
to take pictures of the heart chambers and measure it pumping strength	
EEG	measurement of electrical activity of the brain
edemata	swellings
edema	swelling
efficacies	effectiveness; usefulnesses
efficacy	effectiveness; usefulness
electrodes	wires
electrode	wire
electrolyte imbalance	imbalance of salts or chemicals in the blood
electrophysiology studied	heart rhythm studied
electrophysiology study	heart rhythm study
electrophysiology studying	heart rhythm studying
electrophysiology study	heart rhythm study
electrophysiology studied	heart rhythm studied
electrophysiology study	heart rhythm study
elevation of liver functioned tests	evidenced of liver or kidney damaged
elevation of liver function tests	evidence of liver or kidney damage
elevation of liver functioning tests	evidencing of liver or kidney damaging
elevation of liver function tests	evidence of liver or kidney damage
elevation of liver functioned tests	evidenced of liver or kidney damaged
elevation of liver function tests	evidence of liver or kidney damage
elucidated	to made clear; to determine; to find outed
elucidate	to make clear; to determine; to find out
elucidating	to making clear; to determine; to find outing
elucidate	to make clear; to determine; to find out
elucidated	to made clear; to determine; to find outed
elucidate	to make clear; to determine; to find out
embryos	unborn babies
embryo	unborn baby
LAY TERMINOLOGY	emesis
vomitings	s
vomiting	
empiric	based on experience
endoscopic exam	exam of an internal part of the body with a lighted tube
enemata	medication given through the rectum that cleans out the bowels
enema	medication given through the rectum that cleans out the bowel
enteral	by way of the intestines
enzyme abnormality	blood test result that suggests abnormal organ function or injured cells
epidurals	outside the spinal cords
epidural	outside the spinal cord
eradicating	getting rid of
exclusion criteria	reasons for not being included
excreted	made; given off; put off
externals	outsides of the body
external	outside of the body
extravasated	to leaked outside of a blooded vessel
extravasate	to leak outside of a blood vessel
extravasating	to leaking outside of a blooding vessel
extravasate	to leak outside of a blood vessel
extravasated	to leaked outside of a blooded vessel
extravasate	to leak outside of a blood vessel
fasts	do not eat or drinks
fasted	did not ate or drank
fast	do not eat or drink
fasting	doing not eating or drinking
fast	do not eat or drink
fasted	done not eaten or drunk
fast	do not eat or drink
fatigues	tires
fatigued	tired
fatigue	tire
fatiguing	tiring
fatigue	tire
fatigued	tired
fatigue	tire
fetuss	unborn babies
fetus	unborn baby
flatulences	gas passed through the anus/rectums
flatulence	gas passed through the anus/rectum
fibrillations	irregular beat of the heart or other muscles
fibrillation	irregular beat of the heart or other muscle
fibrous	Having many fibers
flushing	to become red in the face or other part of the body because of rush of
blooded to the skin; blushing of the skinned	
blood to the skin; blushing of the skin	
blooding to the skin; blushing of the skinning	
blood to the skin; blushing of the skin	
blooded to the skin; blushing of the skinned	
blood to the skin; blushing of the skin	
fractures	breaks
fractured	broke
fracture	break
fracturing	breaking
fracture	break
fractured	broken
fracture	break
gastric	stomach
gastrointestinal	stomach and intestines
gestational	pertaining to pregnancy
glucose	sugars
glucose	sugar
hematocrits	amounts of red blood cells in the blood
hematocrit	amount of red blood cells in the blood
hematomas	a bruise; bleeding into the body tissue around a blood vessel (if at the skins
hematoma	a bruise; bleeding into the body tissue around a blood vessel (if at the skin
surface, it looks liked a bruise)	
surface, it looks like a bruise)	
surface, it looks liking a bruise)	
surface, it looks like a bruise)	
surface, it looks liked a bruise)	
surface, it looks like a bruise)	
hemodynamic measurement	test to measure blood flow
hemolyses	breakdowns in red blood cells
hemolysis	breakdown in red blood cells
heparin locked	Needle placed with blooded thinner to kept blooded from clotting inside the
heparin lock	Needle placed with blood thinner to keep blood from clotting inside the
heparin locking	Needle placed with blooding thinner to keeping blooding from clotting inside the
heparin lock	Needle placed with blood thinner to keep blood from clotting inside the
heparin locked	Needle placed with blooded thinner to kept blooded from clotting inside the
heparin lock	Needle placed with blood thinner to keep blood from clotting inside the
needled or tubing	
needle or tubing	
needling or tubing	
needle or tubing	
needled or tubing	
needle or tubing	
hepatics	livers
hepatic	liver
hepatitis	inflammations of the liver
hepatitis	inflammation of the liver
